ID Cliente,Nombre,Dirección,Correo Electrónico,Teléfono,Última Actualización (días),Pedido Válido,Tiempo Acceso (seg)
1,,Calle 789,anagmail.com,61234-5678,29,Válido,0.58
2,,Calle 123,,+34 698765432,12,Inválido,0.28
3,,Calle 456,juan.perez@email.com,61234-5678,1,Inválido,0.49
4,,Calle 456,,,7,Válido,0.48
5,Luis Martínez,Calle 123,anagmail.com,+34 698765432,14,Válido,0.8
6,,Calle 789,juan.perez@email.com,,11,Inválido,0.3
7,,Calle 456,luis.martinez@email.com,+34 612345678,10,Válido,0.73
8,,Calle 789,juan.perez@email.com,61234-5678,15,Válido,0.4
9,Juan Pérez,,luis.martinez@email.com,61234-5678,17,Inválido,0.47
10,Ana García,Calle 456,anagmail.com,+34 698765432,24,Inválido,0.66
11,Ana García,Calle 456,luis.martinez@email.com,+34 612345678,22,Inválido,0.34
12,,Calle 456,anagmail.com,+34 698765432,1,Válido,0.22
13,,Calle 123,,,9,Válido,0.56
14,Luis Martínez,,juan.perez@email.com,,9,Válido,0.46
15,Luis Martínez,Calle 789,anagmail.com,,11,Válido,0.56
16,Ana García,Calle 456,anagmail.com,,1,Válido,0.59
17,,Calle 456,anagmail.com,+34 698765432,9,Válido,0.73
18,Juan Pérez,Calle 456,juan.perez@email.com,+34 698765432,29,Válido,0.46
19,,Calle 789,anagmail.com,+34 698765432,15,Válido,0.39
20,Juan Pérez,Calle 456,juan.perez@email.com,61234-5678,28,Inválido,0.7
21,Ana García,,luis.martinez@email.com,,4,Válido,0.27
22,Luis Martínez,Calle 789,luis.martinez@email.com,,24,Inválido,0.63
23,Juan Pérez,,luis.martinez@email.com,61234-5678,20,Válido,0.66
24,Luis Martínez,Calle 789,juan.perez@email.com,61234-5678,27,Inválido,0.4
25,Luis Martínez,Calle 123,luis.martinez@email.com,,10,Inválido,0.27
26,Luis Martínez,,anagmail.com,,8,Válido,0.46
27,Luis Martínez,Calle 789,luis.martinez@email.com,+34 612345678,19,Válido,0.39
28,Juan Pérez,Calle 789,,61234-5678,20,Inválido,0.39
29,,,juan.perez@email.com,+34 698765432,27,Inválido,0.71
30,Luis Martínez,Calle 456,juan.perez@email.com,,20,Inválido,0.28
31,,Calle 789,juan.perez@email.com,61234-5678,19,Válido,0.42
32,Luis Martínez,Calle 456,,61234-5678,12,Válido,0.71
33,Juan Pérez,,anagmail.com,61234-5678,28,Válido,0.49
34,,Calle 123,anagmail.com,+34 698765432,18,Válido,0.54
35,Juan Pérez,Calle 123,luis.martinez@email.com,,24,Inválido,0.5
36,Ana García,Calle 123,juan.perez@email.com,+34 612345678,22,Válido,0.73
37,Ana García,Calle 123,juan.perez@email.com,+34 612345678,29,Válido,0.21
38,Juan Pérez,Calle 789,anagmail.com,+34 612345678,5,Inválido,0.78
39,Ana García,Calle 456,juan.perez@email.com,,4,Válido,0.47
40,Luis Martínez,Calle 456,luis.martinez@email.com,,24,Inválido,0.69
41,Luis Martínez,Calle 123,luis.martinez@email.com,,4,Inválido,0.54
42,Ana García,Calle 789,juan.perez@email.com,61234-5678,1,Válido,0.57
43,,Calle 789,,+34 698765432,10,Inválido,0.52
44,Juan Pérez,Calle 789,juan.perez@email.com,,8,Inválido,0.29
45,Luis Martínez,Calle 123,luis.martinez@email.com,+34 698765432,3,Inválido,0.65
46,,Calle 456,,+34 698765432,14,Inválido,0.46
47,Luis Martínez,Calle 123,,+34 698765432,26,Inválido,0.43
48,Ana García,Calle 789,,,1,Válido,0.33
49,Luis Martínez,Calle 123,anagmail.com,,12,Válido,0.63
50,,Calle 456,,61234-5678,13,Válido,0.34
51,,Calle 789,luis.martinez@email.com,61234-5678,16,Inválido,0.49
52,Ana García,Calle 123,juan.perez@email.com,+34 612345678,22,Válido,0.74
53,Juan Pérez,Calle 456,luis.martinez@email.com,+34 698765432,28,Inválido,0.23
54,Juan Pérez,Calle 123,luis.martinez@email.com,+34 698765432,23,Válido,0.23
55,Juan Pérez,Calle 123,luis.martinez@email.com,+34 612345678,2,Inválido,0.36
56,Ana García,Calle 123,luis.martinez@email.com,+34 612345678,8,Válido,0.34
57,Ana García,,juan.perez@email.com,61234-5678,29,Inválido,0.53
58,Juan Pérez,,luis.martinez@email.com,61234-5678,13,Inválido,0.57
59,Juan Pérez,Calle 123,anagmail.com,61234-5678,3,Inválido,0.61
60,Luis Martínez,Calle 123,anagmail.com,+34 698765432,8,Válido,0.79
61,,Calle 789,anagmail.com,+34 698765432,3,Válido,0.66
62,Juan Pérez,,anagmail.com,61234-5678,13,Inválido,0.74
63,,Calle 789,luis.martinez@email.com,61234-5678,23,Inválido,0.79
64,Luis Martínez,Calle 123,anagmail.com,,26,Válido,0.26
65,,Calle 789,anagmail.com,+34 612345678,18,Válido,0.55
66,,Calle 123,anagmail.com,+34 612345678,26,Inválido,0.26
67,Ana García,Calle 789,anagmail.com,61234-5678,19,Válido,0.32
68,Luis Martínez,Calle 456,anagmail.com,+34 612345678,15,Inválido,0.61
69,Juan Pérez,,,+34 698765432,26,Válido,0.58
70,Juan Pérez,Calle 789,juan.perez@email.com,+34 698765432,19,Inválido,0.49
71,,Calle 789,anagmail.com,61234-5678,21,Inválido,0.73
72,,Calle 789,luis.martinez@email.com,,15,Inválido,0.57
73,Luis Martínez,Calle 456,juan.perez@email.com,+34 698765432,2,Inválido,0.55
74,Ana García,Calle 789,anagmail.com,61234-5678,27,Inválido,0.37
75,Luis Martínez,Calle 123,juan.perez@email.com,+34 698765432,3,Válido,0.64
76,Ana García,,juan.perez@email.com,+34 698765432,24,Válido,0.69
77,Juan Pérez,Calle 456,luis.martinez@email.com,+34 612345678,15,Inválido,0.72
78,Ana García,Calle 456,,,17,Inválido,0.73
79,Juan Pérez,,,61234-5678,6,Válido,0.43
80,Ana García,Calle 456,luis.martinez@email.com,61234-5678,3,Válido,0.65
81,Luis Martínez,Calle 456,luis.martinez@email.com,,11,Válido,0.34
82,,Calle 789,,61234-5678,29,Inválido,0.63
83,Juan Pérez,Calle 456,luis.martinez@email.com,+34 698765432,27,Válido,0.67
84,Luis Martínez,Calle 456,anagmail.com,+34 698765432,19,Inválido,0.71
85,Juan Pérez,Calle 789,anagmail.com,61234-5678,25,Válido,0.62
86,Juan Pérez,Calle 456,luis.martinez@email.com,,18,Válido,0.36
87,Luis Martínez,Calle 456,anagmail.com,61234-5678,24,Válido,0.42
88,Luis Martínez,Calle 789,luis.martinez@email.com,,2,Inválido,0.24
89,Luis Martínez,Calle 789,,61234-5678,13,Inválido,0.59
90,Ana García,,anagmail.com,61234-5678,26,Inválido,0.4
91,Juan Pérez,,luis.martinez@email.com,61234-5678,27,Válido,0.62
92,,Calle 123,anagmail.com,,4,Inválido,0.33
93,Ana García,Calle 456,juan.perez@email.com,+34 698765432,28,Inválido,0.22
94,,Calle 456,juan.perez@email.com,61234-5678,20,Válido,0.56
95,Ana García,Calle 789,juan.perez@email.com,+34 612345678,18,Válido,0.55
96,,Calle 123,juan.perez@email.com,+34 698765432,30,Válido,0.29
97,Luis Martínez,Calle 123,,+34 698765432,22,Válido,0.21
98,,Calle 789,juan.perez@email.com,+34 612345678,16,Inválido,0.24
99,Ana García,,anagmail.com,+34 698765432,25,Inválido,0.71
100,Luis Martínez,Calle 123,juan.perez@email.com,+34 612345678,6,Válido,0.42
101,Luis Martínez,Calle 789,juan.perez@email.com,61234-5678,15,Inválido,0.57
102,,Calle 789,,+34 698765432,5,Inválido,0.3
103,Luis Martínez,Calle 123,,,21,Válido,0.46
104,Juan Pérez,Calle 789,juan.perez@email.com,+34 698765432,14,Válido,0.4
105,,Calle 789,luis.martinez@email.com,+34 698765432,26,Inválido,0.45
106,Ana García,,juan.perez@email.com,+34 612345678,4,Inválido,0.32
107,Luis Martínez,Calle 789,juan.perez@email.com,,27,Válido,0.22
108,Ana García,,anagmail.com,+34 612345678,8,Válido,0.73
109,Juan Pérez,Calle 456,luis.martinez@email.com,,27,Válido,0.66
110,Juan Pérez,Calle 123,luis.martinez@email.com,61234-5678,22,Inválido,0.33
111,,Calle 456,luis.martinez@email.com,61234-5678,14,Válido,0.6
112,Ana García,Calle 123,,,6,Inválido,0.64
113,Luis Martínez,Calle 123,anagmail.com,61234-5678,9,Válido,0.76
114,Ana García,Calle 789,anagmail.com,+34 612345678,29,Válido,0.46
115,Ana García,Calle 123,,61234-5678,5,Inválido,0.66
116,Juan Pérez,Calle 456,,+34 698765432,24,Válido,0.6
117,Juan Pérez,Calle 123,,61234-5678,25,Válido,0.35
118,Juan Pérez,Calle 123,juan.perez@email.com,,19,Válido,0.44
119,Ana García,Calle 123,anagmail.com,61234-5678,21,Inválido,0.37
120,Ana García,Calle 123,luis.martinez@email.com,+34 698765432,6,Inválido,0.65
121,Ana García,Calle 123,luis.martinez@email.com,,3,Inválido,0.51
122,,Calle 789,juan.perez@email.com,+34 612345678,16,Inválido,0.51
123,Luis Martínez,Calle 123,anagmail.com,61234-5678,12,Válido,0.68
124,Ana García,Calle 789,juan.perez@email.com,+34 612345678,2,Inválido,0.47
125,Ana García,,luis.martinez@email.com,+34 698765432,12,Inválido,0.74
126,,,,+34 612345678,16,Válido,0.43
127,Juan Pérez,Calle 123,anagmail.com,,20,Válido,0.67
128,Juan Pérez,Calle 456,,+34 612345678,20,Válido,0.5
129,Luis Martínez,Calle 789,,61234-5678,14,Inválido,0.63
130,,Calle 123,juan.perez@email.com,+34 612345678,27,Inválido,0.64
131,Juan Pérez,Calle 789,juan.perez@email.com,61234-5678,9,Inválido,0.45
132,Luis Martínez,Calle 123,luis.martinez@email.com,+34 698765432,12,Inválido,0.37
133,Juan Pérez,Calle 123,luis.martinez@email.com,61234-5678,21,Válido,0.8
134,Luis Martínez,Calle 123,anagmail.com,+34 612345678,22,Válido,0.44
135,,Calle 456,,,22,Válido,0.25
